음식,열량
돼지고기부추덮밥(05)(06)(10),742.64
돼지고기부추볶음(05)(06)(10),355.81
돼지고기수육(05)(06)(09)(10),773.31
돼지고기수육(05)(09)(10),832.1
돼지고기수육(09)(10),762.31
돼지고기애호박찌개(10),110.32
돼지고기양장피볶음(05)(06)(10),236.78
돼지고기양장피볶음(10),140.89
돼지고기장조림(01)(10),395.0
돼지고기장조림(10),190.0
돼지고기청경채볶음(05)(06)(10),321.15
돼지고기청경채볶음(10),257.96
돼지고기케첩볶음(05)(06)(10)(12),293.26
돼지고기콩나물볶음(05)(06)(10),241.56
돼지고기콩나물볶음(05)(06)(10)(18),313.76
돼지고기콩나물볶음(05)(10)(18),244.01
돼지국밥(완),300.0
돼지국밥(완)(05)(06)(10),641.61
돼지국밥(완)(10),713.26
돼지국밥(완)(10)(16),792.26
돼지불고기(05)(06),61.47
돼지불고기(05)(06)(10),397.15
돼지불고기(05)(10),281.83
돼지불고기(10),389.06
돼지파채불고기(05)(06)(10),551.34
돼지훈제,44.9
돼지훈제(01)(02)(05)(10),551.82
돼지훈제(05)(06),21.45
된장국(일품용)(05),21.45
된장국(일품용)(05)(06),29.96
두부간장볶음(05)(06),78.57
두부고추장찌개(05)(06)(10),152.39
두부구이(05)(06)(18),173.15
두부김치(05)(06)(09)(10)(18),293.95
두부김치(05)(06)(10),306.7
두부김치(05)(10),295.55
두부맑은국(01)(05),51.54
두부매운조림(05),98.4
두부매운조림(05)(06),109.75
두부양념장(05)(06),89.32
두부조림(05)(06),270.82
두부조림(05)(06)(18),163.3
두부조림(05)(18),160.87
두부케첩조림(05)(06),126.68
두부케첩조림(05)(06)(12),120.84
두유 검은콩,86.0
두유(3사교),140.0
"두유음료, 삼육두유 검은콩호두&아몬드 파우치190ml",
들기름막국수(02)(03)(05)(06),889.36
들기름막국수(02)(05)(06),536.04
들기름막국수(03)(05)(06),331.44
들깨미역국,21.5
들깨미역국(05),45.45
들깨미역국(05)(06),20.28
들깨오리탕,456.32
들깨오리탕(05)(06),371.75
등뼈감자탕(05)(06)(09)(10),392.2
딸기(1월~2월),43.2
"딸기,신선형(딸기(34월))",36.0
땅콩조림(완)(04),43.43
떠먹는 토핑형 발효유,
떠먹는 토핑형 발효유(02),165.0
떡갈비(10),286.0
떡갈비구이(05)(06)(12),9.74
떡갈비스테이크,183.95
떡갈비스테이크(12),198.88
떡갈비조림,0.0
떡만둣국(01),340.86
떡만둣국(01)(05)(06)(10),629.06
떡볶이(01)(05)(06),323.24
떡볶이(05)(06),292.29
떡산적,82.88
라구파스타(02)(05)(06)(10)(15)(16),137.43
라구파스타(02)(05)(10)(15)(16),635.63
라면(즉석 컵)(06),730.0
랍스터볶음밥(완)(01)(02)(05)(06)(08)(09)(15)(16),778.0
랍스터치즈버터구이(01)(02)(05)(06)(09)(16),226.62
레몬에이드,26.0
로제떡볶이(02)(05)(06)(10),317.55
로제스파게티(05)(10),778.93
로제짬뽕(05)(06)(08)(09)(17)(18),266.27
로제파스타(05)(09)(10),270.69
리코타치즈샐러드(01)(02)(05)(12)(16),104.61
리코타치즈샐러드(02),38.71
리코타치즈샐러드(02)(12),40.41
마늘바게트,3.6
마늘보쌈(05)(06)(09)(15),359.46
