날짜,음식,식사유형
2025-01-13(월),백색우유,조식
2025-01-13(월),배추김치,조식
2025-01-14(화),밥,조식
2024-12-15(일),백색우유,조식
2024-12-15(일),배추김치,조식
2024-12-16(월),밥,조식
2024-12-16(월),근대된장국,조식
2024-12-16(월),닭바베큐소스조림,조식
2024-12-16(월),오이무침,조식
2024-12-16(월),백색우유,조식
2024-12-16(월),배추김치,조식
2024-12-17(화),밥,조식
2024-12-17(화),콩나물국,조식
2024-12-17(화),오삼불고기,조식
2024-12-17(화),계란장조림,조식
2024-12-17(화),배추김치,조식
2024-12-18(수),밥,조식
2024-12-18(수),오징어국,조식
2024-12-18(수),감자채볶음,조식
2024-12-18(수),언양식바싹불고기,조식
2024-12-18(수),백색우유,조식
2024-12-18(수),배추김치,조식
2024-12-19(목),밥,조식
2024-12-19(목),쇠고기미역국,조식
2024-12-19(목),돼지고기청경채볶음,조식
2024-12-19(목),오이부추무침,조식
2024-12-19(목),배추김치,조식
2024-12-20(금),밥,조식
2024-12-20(금),감자고추장찌개,조식
2024-12-20(금),느타리버섯볶음,조식
2024-12-20(금),비엔나소시지케찹볶음,조식
2024-12-20(금),배추김치,조식
2024-12-21(토),핫도그빵,조식
2024-12-21(토),스크램블에그,조식
2024-12-21(토),백색우유,조식
2024-12-21(토),시리얼,조식
2024-12-21(토),단호박샐러드,조식
2024-12-22(일),밥,조식
2024-12-22(일),콩나물김치국,조식
2024-12-22(일),오징어볶음,조식
2024-12-22(일),오이무침,조식
2024-12-22(일),김,조식
2024-12-22(일),깍두기,조식
2024-12-23(월),밥,조식
2024-12-23(월),햄감자찌개,조식
2024-12-23(월),돼지삼겹야채볶음,조식
2024-12-23(월),무나물,조식
2024-12-23(월),배추김치,조식
2024-12-24(화),밥,조식
2024-12-24(화),황태채미역국,조식
2024-12-24(화),오징어삼겹볶음,조식
2024-12-24(화),상추겉절이,조식
2024-12-24(화),백색우유,조식
2024-12-24(화),배추김치,조식
2024-12-25(수),밥,조식
2024-12-25(수),콩나물국,조식
2024-12-25(수),돼지불고기,조식
2024-12-25(수),김자반,조식
2024-12-25(수),무생채,조식
2024-12-25(수),백색우유,조식
2024-12-25(수),배추김치,조식
2024-12-26(목),밥,조식
2024-12-26(목),김치찌개,조식
2024-12-26(목),꽈리고추멸치볶음,조식
2024-12-26(목),미트볼조림,조식
2024-12-26(목),깍두기,조식
2024-12-27(금),밥,조식
