날짜,음식,식사유형
2021-01-01,우유,조식
2021-01-02,밥,조식
2021-01-02,시금치된장국,조식
2021-01-02,돼지고기김치볶음,조식
2021-01-02,맛김,조식
2021-01-02,깍두기,조식
2021-01-02,우유,조식
2021-01-03,밥,조식
2021-01-03,쇠고기무국,조식
2021-01-03,순두부양념장,조식
2021-01-03,오징어실채무침,조식
2021-01-03,김장김치,조식
2021-01-03,우유,조식
2021-01-04,밥,조식
2021-01-04,김치찌개,조식
2021-01-04,햄슬라이스야채볶음,조식
2021-01-04,맛김,조식
2021-01-04,김장김치,조식
2021-01-04,우유,조식
2021-01-05,에그햄치즈버거,조식
2021-01-05,우유,조식
2021-01-29,콩나물김치국,조식
2021-01-29,돼지고기부추볶음,조식
2021-01-29,맛김,조식
2021-01-29,김장김치,조식
2021-01-29,우유,조식
2021-01-30,밥,조식
2021-01-30,북어채국,조식
2021-01-30,감자조림,조식
2021-01-30,무나물M582:오이무침대,조식
2021-01-30,김장김치,조식
2021-01-30,우유,조식
2021-01-31,감자밥,조식
2021-01-31,조갯살미역국,조식
2021-01-31,돼지고기김치볶음O564:쇠고기야채조림대,조식
2021-01-31,김장김치,조식
2021-01-31,우유,조식
2021-01-24,맛김,조식
2021-01-24,김장김치,조식
2021-01-24,우유,조식
2021-01-25,밥,조식
2021-01-25,쇠고기미역국,조식
2021-01-25,버섯호박볶음,조식
2021-01-25,계란찜,조식
2021-01-25,김장김치,조식
2021-01-25,우유,조식
2021-01-26,밥,조식
2021-01-26,생선묵국,조식
2021-01-26,돼지고기김치볶음,조식
2021-01-26,맛김,조식
2021-01-26,과일1,조식
2021-01-26,깍두기,조식
2021-01-27,밥,조식
2021-01-27,쇠고기무국,조식
2021-01-27,새송이버섯야채볶음,조식
2021-01-27,무나물M582:오이무침대,조식
2021-01-27,김장김치,조식
2021-01-27,우유,조식
2021-01-28,핫도그빵,조식
2021-01-28,우유,조식
2021-01-21,햄치즈버거,조식
2021-01-21,우유,조식
2021-01-22,밥,조식
2021-01-22,버섯쇠고기찌개,조식
2021-01-22,맛김,조식
2021-01-22,두부양념장,조식
2021-01-22,김장김치,조식
2021-01-22,우유,조식
2021-01-23,밥,조식
2021-01-23,감자양파찌개,조식
2021-01-23,김자반,조식
